p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.2349334343555e-103,1.40908272278485,0.61,0.498,2.469866868711e-100,2,Fxyd2
5.6763756952831e-184,1.38292562121723,0.726,0.615,1.13527513905662e-180,2,Ccrl2
4.93110837301256e-248,1.37366570719817,0.904,0.779,9.86221674602512e-245,2,Large1
0,1.36412597294404,0.972,0.851,0,2,Ifrd1
4.35335120059029e-295,1.35634437815285,0.887,0.754,8.70670240118057e-292,2,Nr4a2
1.15480035071962e-119,1.35541420735891,0.647,0.54,2.30960070143923e-116,2,Ppp1r1a
1.52785238285212e-13,1.34620902189638,0.468,0.476,3.05570476570423e-10,2,Gm6209
3.80397163315738e-270,1.33517130733856,0.865,0.717,7.60794326631476e-267,2,Plscr1
3.64545482694578e-149,1.32796073448669,0.663,0.58,7.29090965389156e-146,2,Slc15a2
2.78841982791251e-87,1.3231689498896,0.599,0.551,5.57683965582502e-84,2,Epcam
1.53314183957689e-189,1.30255025549298,0.62,0.453,3.06628367915378e-186,2,Slc44a5
1.58926237095757e-188,1.27514674781232,0.603,0.428,3.17852474191514e-185,2,2610528A11Rik
7.67287885917313e-31,1.24227134341052,0.553,0.551,1.53457577183463e-27,2,Gm34907
3.203987935121e-117,1.22131122672124,0.512,0.346,6.407975870242e-114,2,Grpr
7.27107538175797e-100,1.21857010114989,0.56,0.513,1.45421507635159e-96,2,Cxcl2
2.9297626458721e-95,1.20144542447652,0.601,0.518,5.85952529174419e-92,2,Ppm1l
6.77964296945666e-246,1.20089006268339,0.864,0.728,1.35592859389133e-242,2,Nfe2l2
1.47246608030069e-57,1.20020868796434,0.291,0.399,2.94493216060138e-54,2,Csta2
2.20336215125114e-83,1.18955166976915,0.613,0.518,4.40672430250228e-80,2,Rsad2
1.3686199141048e-64,1.18295353278819,0.519,0.45,2.73723982820959e-61,2,Dcstamp
2.05858170147748e-74,1.17672145778238,0.514,0.415,4.11716340295496e-71,2,Trmt61b
1.51567811258264e-109,1.17481165134235,0.709,0.634,3.03135622516527e-106,2,Rell1
4.57676319268028e-21,1.14370061581515,0.451,0.411,9.15352638536055e-18,2,Il6
2.03011088237786e-130,1.13842543188437,0.624,0.526,4.06022176475572e-127,2,Gm20125
0,1.12837039401739,0.91,0.73,0,2,Rnase6
2.0761312292878e-143,1.10982132715342,0.742,0.656,4.1522624585756e-140,2,Lmnb1
6.17395161292526e-94,1.09888801573735,0.635,0.529,1.23479032258505e-90,2,Gria3
4.34479906247635e-120,1.09350601992962,0.672,0.569,8.6895981249527e-117,2,Cd36
9.27660073419626e-210,1.06601805252579,0.807,0.675,1.85532014683925e-206,2,Antxr2
1.01272885610856e-240,1.04956709638938,0.813,0.637,2.02545771221712e-237,2,Gm42601
7.52613731155008e-306,1.04863833017897,0.948,0.843,1.50522746231002e-302,2,Malt1
6.2462583207562e-53,1.04776953427428,0.55,0.504,1.24925166415124e-49,2,Sntb1
4.72837113613915e-44,1.03378199772292,0.141,0.201,9.4567422722783e-41,2,AU015836
2.06558600456579e-266,1.02962980496763,0.873,0.671,4.13117200913157e-263,2,Ccnd2
4.48420738957986e-194,1.02419667553069,0.705,0.55,8.96841477915972e-191,2,Cfb
3.07358211997896e-27,1.01130237154988,0.534,0.528,6.14716423995793e-24,2,Prkg1
8.46167075905488e-60,1.00881747317817,0.603,0.55,1.69233415181098e-56,2,Gm33843
7.08288341309182e-47,1.00793812842185,0.333,0.211,1.41657668261836e-43,2,Gp2
2.87545267803228e-206,1.00216236419186,0.899,0.774,5.75090535606456e-203,2,Gpd2
7.67278214168434e-79,2.64086284350241,0.176,0.231,1.53455642833687e-75,3,Gm15287
3.84116928282783e-116,2.14327245442694,0.582,0.374,7.68233856565565e-113,3,Mt2
6.43028330036436e-299,1.88274048109072,0.853,0.637,1.28605666007287e-295,3,Tubb2b
2.40036360418057e-277,1.82687422836377,0.656,0.339,4.80072720836113e-274,3,Kif26b
0,1.72036351148477,0.977,0.814,0,3,Gas5
0,1.68496604662697,0.973,0.73,0,3,Zmynd15
0,1.66650687736461,0.999,0.925,0,3,Ccl5
0,1.63644609558157,0.998,0.767,0,3,Txndc17
1.02229662518889e-99,1.59351462487429,0.694,0.527,2.04459325037779e-96,3,Mt1
3.58988739757823e-260,1.58780319140943,0.584,0.204,7.17977479515647e-257,3,Psca
6.69433993300964e-38,1.50600700874338,0.082,0.09,1.33886798660193e-34,3,Gm49504
7.51700170714377e-300,1.49708868579939,0.526,0.136,1.50340034142875e-296,3,Mt3
1.35204715731924e-207,1.48460064419191,0.749,0.534,2.70409431463847e-204,3,Serpinb1a
0,1.47779129807321,0.982,0.857,0,3,Creg1
0,1.43996769286053,0.992,0.82,0,3,Txn1
8.72258474558363e-07,1.38816554425513,0.253,0.152,0.00174451694911673,3,Slc44a3
2.32652179180434e-264,1.38659685597644,0.194,0.022,4.65304358360867e-261,3,Fam167b
0,1.37581398960452,0.99,0.856,0,3,Tspo
4.05494290144576e-131,1.36235052533042,0.676,0.447,8.10988580289153e-128,3,Fgfbp3
0,1.35107127206629,0.999,0.955,0,3,Ubb
0,1.34248066133203,0.959,0.707,0,3,Laptm4b
1.39413943328558e-65,1.33719753318229,0.601,0.469,2.78827886657116e-62,3,Asprv1
4.20998909246204e-18,1.32409788423547,0.003,0.055,8.41997818492408e-15,3,Olfml2a
0,1.28625890588519,1,0.95,0,3,Epsti1
3.15462839658637e-46,1.28374438464888,0.502,0.301,6.30925679317275e-43,3,Gm35330
0,1.26839667905948,0.999,0.911,0,3,AW112010
0,1.24121525747683,0.425,0.076,0,3,Fam155a
1.34473225812561e-22,1.23011919196856,0.513,0.389,2.68946451625123e-19,3,Plat
3.99088740673041e-227,1.22965583412201,0.908,0.699,7.98177481346081e-224,3,Idi1
9.35967798636618e-66,1.19577054609054,0.602,0.448,1.87193559727324e-62,3,Oasl1
0,1.14052358415521,0.993,0.836,0,3,Npc2
1.5943712280204e-258,1.12905172101278,0.942,0.649,3.1887424560408e-255,3,Glipr2
1.95369819480247e-218,1.12048307534756,0.993,0.936,3.90739638960493e-215,3,Ubc
1.75615413493658e-216,1.12040198895271,0.599,0.276,3.51230826987317e-213,3,1700123O12Rik
6.80472889813253e-229,1.11814410130276,0.902,0.634,1.36094577962651e-225,3,Cd81
1.61907769328074e-17,1.10261053329253,0.445,0.271,3.23815538656147e-14,3,Serpinb9b
1.335159813024e-177,1.074437751804,0.779,0.551,2.670319626048e-174,3,Nxn
8.14282869700882e-291,1.06812757638453,0.991,0.855,1.62856573940176e-287,3,Serpinb6b
0,1.03817606018045,0.999,0.969,0,3,Ftl1
5.39774425527108e-136,1.03451773158885,0.653,0.425,1.07954885105422e-132,3,Cpne8
2.32603573592527e-149,1.02995471021803,0.592,0.345,4.65207147185054e-146,3,Hspb1
2.28938560345323e-157,1.02649369687405,0.613,0.327,4.57877120690646e-154,3,Csf1
2.55745311591497e-09,1.02350183434457,0.423,0.272,5.11490623182993e-06,3,CR974586.4
0,5.94095832634303,0.776,0.36,0,4,Ctnnd2
0,5.44564619824098,0.768,0.251,0,4,Sirpb1a
0,5.38323954015097,0.671,0.225,0,4,Ffar2
5.71706927473082e-74,4.93643770251342,0.472,0.183,1.14341385494616e-70,4,Scn3a
0,4.8226743622181,0.726,0.397,0,4,Cyp4f16
0,4.48755419993395,0.811,0.482,0,4,Adgre1
0,4.45804235933625,0.625,0.118,0,4,Tmem132c
0,4.42031436120112,0.74,0.483,0,4,Cass4
2.98381203460167e-36,4.11291978672033,0.382,0.103,5.96762406920334e-33,4,Ccdc192
6.50996380215216e-164,4.01186880509501,0.497,0.207,1.30199276043043e-160,4,Mmp12
0,4.00247905994971,0.909,0.587,0,4,Ccnd1
2.69018533670764e-135,3.99990383105464,0.513,0.203,5.38037067341529e-132,4,Gfra2
6.1295106391677e-276,3.96552527601804,0.677,0.398,1.22590212783354e-272,4,Kmo
0,3.96294585623576,0.801,0.362,0,4,Mef2c
2.19892384439922e-285,3.93682527372975,0.652,0.31,4.39784768879843e-282,4,Sirpb1b
7.14255559283639e-235,3.89257960456833,0.663,0.442,1.42851111856728e-231,4,Egr2
2.16698515273676e-156,3.85757859307647,0.624,0.428,4.33397030547352e-153,4,Ryr3
4.06510094370801e-239,3.85622765806447,0.656,0.434,8.13020188741602e-236,4,Slc2a3
0,3.81072953264965,0.628,0.195,0,4,Clec4a2
7.24496296880169e-262,3.81001546961822,0.704,0.534,1.44899259376034e-258,4,Gm15261
